id,text
241,okay you throw your toys and Mommy will fix the tracks
242,okay and then when you feel better you let me know
243,no you're gonna go outside in a few
244,aw look xxx give the can you give the little prairie dawn a pumpkin
245,I'm sure it doesn't taste very good not cooked
246,okay c'mon let's go read this bee book
247,one ball two ball three ball four ball five ball six balls they have_to play
248,that's alright if they fall it's okay we'll pick them up after
249,yeah what's that one say what's that say one
250,how about the the the round one the tube tuby one
251,cows moo pigeons coo goats bleat birdies xxx
252,why can't I remember how this goes for some reason I'm very confused today
253,chicks peep crickets cheep horses neigh donkeys bray
254,Elmo loves animals sometimes he dreams he's an animal
255,parrots talk hens quack peacocks shriek and children speak
256,if Elmo were a dolphin he could swim in the sea
257,alright well come closer to me I can't reach you
258,is she wearing long sleeves or short sleeves
259,but rubber duckies absolutely never say quack
260,if Elmo were a lion he could roar loud enough for everyone to hear
261,pigs snuffle bunnies ruffle roosters crow elephants blow
262,I can't I don't know xxx put it in the garage
263,but rubber duckies absolutely never ever say quack
264,I think we'll give her short sleeves 'cause she's wearing
265,if Elmo were a giraffe he could eat from the tipidy top of the tallest trees
266,this is all the stuff we can get rid of
267,if Elmo were an elephant he could give himself a shower
268,push push I said xxx push xxx Elmo is in the way
269,alright go ahead put your feet on the peddles
270,watch where your little feet are stepping cause there's a lot of stuff here
271,you read it read it to Mommy Alex's turn
272,no more crayons if you're gonna throw them
273,cows moo pigeons coo goats bleat birdies tweet
274,are we done with are you done with your blocks
275,Grammy says it's a good thing she doesn't rely on you to eat she'd starve to death
276,oh are you getting me a knife and a plate
277,what's the matter Alex how come your so upset today
278,yeah but you have_to put your feet on the peddles
279,chicks peep crickets cheep horses neigh donkeys bray
280,put it here put it up here if you want
281,alright we have_to wait for Gigi to get the knife and the plate
282,parrots talk hens squawk children peacocks shriek and children speak
283,maybe by the time you're eighteen you can eat this apple xxx
284,but rubber duckies absolutely never say quack
285,oh thank you are you giving me the block
286,okay you didn't know it was there
287,pigs snuffle bunnies wuffle roosters crow and elephants blow
288,and I'm goin to one I'm goin to one tonight too
289,alright there's a red Santa let's see if we can find him
290,we can't do crayons if you throw them on the floor
291,but rubber duckies absolutely never say quack
292,would you get me a cloth for his nose please
293,let me see lemme see lemme see
294,are ya saying oh no because you're throwing things on the floor
295,would you like to put your other sock on
296,c'mere lemme put your other sockie on
297,yup we're gonna make a grilled cheese
298,oh thank you would you like me to make another one
299,then you can alright you can get down in two seconds
300,you're so crazy you don't wanna put your sock on
301,no you can't go to sleep yet you wouldn't want to sleep this morning so ya hafta stay up now
302,oh you got me this knife that doesn't cut water
303,yeah say oh no I'm throwing everything on the floor so try not to step on it
304,would you like to look out the window for a moment
305,well okay let's see what's goin' on with your puzzles
306,you're so rough you're so you're too rough
307,here's the book that Mommy likes the lion book
308,Mom can you get me the xxx small knife please that cuts
309,that's good for now let's put these away
310,you have bubble supplies but it's too windy out so we're not
311,here you can have this one I think I have too much orange
312,thank you this is where we dig over here look
313,yeah we have_to figure out where we're gonna store these
314,this is all your puzzle pieces all your train stuff
315,alright don't do that cause that's it was clean
316,and you don't have_to eat the whole thing if you can't
317,see the people walking in the down the street
318,now we're just gonna to put a little teeny teeny bit because this isn't too good for you
319,make sure yellow piece we don't have a yellow piece
320,going for a walk and oh the birdies the birdies
321,Alex that's very well done very well done
322,could it be could it oh no it's already on there we don't have_to do step three
323,you're alright you have_to watch where you're going honey
324,I can't find I don't know where he could be
325,no I was asking ya to just buy a couple a things but
326,where's the peel you threw it on the floor
327,you had a ginger+bread man and I didn't even know it
328,no he was screaming he wanted to sit here
329,Mommy went all the way out to the store and bought these because she couldn't find her ginger+bread man
330,and I'll put this away after cause I don't want you to get hurt
331,he put in some requests for tomorrow and Saturday so I have_to go to the market anyway
332,alright you have_to get a spoon would you like to get a spoon for Mommy get a spoon out of the drawer
333,tell Jessica we're gonna try and go on the porch for a little bit
334,you don't want to tell me what the picture is
335,and I see I'm gonna be picking up crayons for a while
336,c'mon maybe that will make you feel a little better
337,now wasn't he just here a minute ago Alex
338,that has a lot of words and you're turning the pages too fast Mommy can't read that one
339,one two three four five six seven eight nine ten eleven twelve
340,okay you sit there and I'll get some more cars okay
341,you have_to get a spoon were you going to get a spoon out of the drawer
342,yeah but that has to Daddy has to clean that out and throw it in the trash
343,wee I got a tired baby on my hands big stretch
344,there's plenty of room if you wanna put the camera here I mean I hate to keep making you move it but he's not
345,up the ladder down the ladder up the ladder down the ladder
346,and that uh she wanted to make an appointment for tomorrow at ten thirty
347,but then she also gave a second choice choice up uh choice
348,step step step four we did step four step five holy moly
349,look xxx the other window would you like to go look out the other window
350,would you like me to help you with your sneakers
351,so I um eh like almost immediately called back
352,you want Mommy to push your chair in a little bit
353,howbout this one let's go over to this window change of scenery c'mon
354,let me go see if I can find the other piece
355,no Mommy has to put on your socks wait a minute
356,he wants another cup another cup another cup another cup of Rosie's tea
357,he usually doesn't take it apart that's the thing unless you know I bring it in there
358,it just rang and rang and rang and rang
359,cause Mommy doesn't know what the heck she's doin
360,I think I see a little boy it's my little boy Alex
361,so um I'm gonna just to have_to keep trying ya know I'll call back again
362,no just eat have the one and the two right now
363,it's windy so I don't know we'll have_to see
364,you're gonna hide for a couple of minutes
365,that's okay well we have a clean shirt Mommy has your clean shirt right here
366,you can't put it in your mouth when it's clean
367,hm let's get an apple we'll peel an apple
368,Alex give Mommy the other tracks please in the bin
369,okay and this one we can do this one goes here
370,where's your big truck with all the blocks in it
371,would you like to go look out a different window now
372,that was not nice what'd I tell you about doing that
373,go put it on the table would you like to go put it on the table for Mommy
374,okay let me get some of these out of your way
375,take a you can take a puzzle piece and do it
376,I have_to find the others ones I don't know where they went
377,she wants she called and asked me if I could
378,this one will go in the front because of the way the magnet is
379,where are the napkins I think you took the napkins off the table I have_to get some more
380,here you have_to put her in put her in her train
381,see Alex that's what we can't have happen honey
382,and they to uh draw a scene from the book on the cover
383,did Dada go to the store to buy computer paper
384,she has to draw a staircase she can't draw a staircase
385,not supposed to play ball in the house Gigi says but we let you do it anyway
386,where wouldjou like to sit in your chair or the big chair
387,and Mommy will open the dirt for you okay gohead
388,now these spiders don't fit right I don't know why
389,she's dropping all the stuff off at four thirty after xxx basketball
390,put 'em in here and then give Mommy the dirt
391,do you want to put somebody in here do you want to put this lady
392,oh here here's one honey look I found one
393,put your leaves in a pile here like that
394,that's the farmer and the three ponies
395,where's the little boy we're missing a we're missing a boy
396,oh no you can't do that you can't stick this stuff in the gas ya have_to put it in the bowl
397,put this put the toys in the box
398,these don't go to that one they go to your other puzzle but I don't know xxx
399,I'm doin this over here but you're not interested today usually you are
400,oh Mommy has to go fix that she doesn't want to listen to the beep
401,we can't do this cause you're not acting very nice
402,oh you no you have_to find the other oh there it there it is right here look right in front of me
403,this is the timer Mommy's setting the timer up for the cakes
404,you are the cutest you are so cute
405,nope we've gotta put it away and do something else
406,okay let's put this one on let's put this sticker on
407,here I'll push 'em over here so you can reach
408,that one goes look it goes right here see ya haf to match them
409,Alex can I get in this drawer for a minute please
410,the red octopus with the red octopus now push it go ahead there now see look no fishing sign now ya hafta find the same one see no fishing sign see ya hafta match them
411,look I'm not gonna move ya I just
412,I think I'm going to give you a kiss
413,oh can you go the other way instead of hurting your feet
414,would you like to cook Daddy some brownies
415,nothing he just put the apple back on the plate
416,Alex you can't play with them if you're gonna throw 'em
417,or if you fall you're gonna get hurt
418,so we I can make sure that they're not missing
419,somebody's coming but I don't know who
420,we have_to let this cool off it's a little warm
421,you have_to chew that because you put too much in your mouth and you could choke
422,cause I think the only one that is floatin' around here is seven
423,you have_to do it like you did the other one you have_to sit and you have_to pay attention and you have_to cooperate
424,oh here's a green one you do have a green one I forgot
425,you can just put it right back on the track
426,you can stay there I just have_to go in it for one second
427,find the same one no ya had it right the first time ya just hafta make it fit
428,alright ready we'll do it real quick one two three
429,I dunno where the rest of the puzzle pieces are
430,oh_no Mommy got caught on the chair but that's okay
431,you can go right back to what you were doing
432,uh that's a like a marble color all different shades
433,oh see now you have_to act fresh cause Daddy's here
434,what're you doing to Gigi's clean windows
435,oh boy I know that's your those are your toys
436,uh see I can't find it I can't find it I can't find it there it is
437,oh no here it is here it is here it is
438,Alex would you like to get down and play with something else
439,see xxx you have_to say green Alex how come you don't wanna say green today
440,no I'm gonna put the dirty dishes in here watch
441,these are all yeah those are all cars all mixed up in the big truck
442,woo woo chugga chugga chugga chugga chugga chugga chugga chugga chugga chugga chugga chugga chugga chugga chugga chugga chugga
443,okay don't touch these cause I'm gonna I'm gonna get rid of 'em
444,no it's not broke it's extra cause it doesn't show where to put it
445,xxx would you like to continue throwing your crayons
446,no we can't do the seeds because you're not listening
447,I don't want you to lean against the window Mommy has to hold you okay
448,do you want to get your rake where's your rake go get your rake
449,you put them in the box like a nice boy
450,Mommy's sleeves keep falling down and it's very aggravating
451,boy you must not be feeling too hot if ya don't want a pop
452,I think this Elmo might be needing batteries too
453,this put this in and put it in there
454,or I'm taking them away and putting them away and then you'll have_to move onto something else
455,and then here is your let's see put that in that that's the nine
456,how come you don't wanna gimme a kiss
457,you have_to pour the water where do you pour the water
458,would you like Mommy to put some new batteries in here
459,would you like me to fix that one for you
460,I think you're gonna hafta start wearing bibs again
461,xxx oh look at seven seven's seen better days
462,alright go sit down on the rug and I'll get you some toys
463,now I'll give you some dough if you stop banging
464,after I pick up all the food you threw on the floor
465,Mommy's just gonna shove that in there I'll have_to fix it later
466,wouldja like to color with your crayons we didn't do that today
467,no you're not dumping it Alex because there are the things that have_to go upstairs to your other toy set so we know where everything is
468,these are dirty I don't wanna I have_to wash them okay
469,just some water would be fine I'm so thirsty
470,I think they went to go buy you a train table
471,we have_to put the water in here let's see
472,would you like to put your crayons in there
473,yeah he chucked I mean it went flying
474,you're gonna help Mommy cut these up I hope
475,okay alright I won't put any of your toys away
476,don't you get me train don't you get me train no no no no no no pull pull
477,how am I supposed to get those crayons so far away you silly
478,where's your box that you need to be opened
479,okay ready I'm ready to pour the water in get ready
480,I think you're Ernie book's upstairs so you can bring your Bert book
481,would you like to help Gigi cut this fabric we have_to make a curtain here
482,I have_to turn it Alex cause I can't see honey
483,yeah we didn't we couldn't walk outside so we went to uh the Warwick mall
484,he just so back washed in my water I can't even drink it
485,oh that's very good you haven't said that yet
486,what would you like me to do with this little fishy
487,come over here Alex look would you like some dough
488,good pushing Alex see you didn't take it off the track that time good pushing
489,but rubber duckies absolutely never say quack
490,I know let me see let's try this one
491,you know what see this one right here take this one out this one's no good
492,usually you don't gross me out but that really did
493,wow wow oh you're gonna go to sleep right there
494,gimme a kiss and I'll let you touch it
495,Mommy's turn to push the train on the tracks
496,here's the supper you didn't eat last night
497,and let's see if it peeks through the tunnel
498,Alex do you think we can get rid of this book
499,but rubber duckies absolutely never say quack
500,a blue how bout a purple do you have a purple
501,this is your sticker book but you ya already did them all
502,no you can't do that Alex because you're gonna
503,the xxx you up last night xxx but it is it it was an instructional class too so you you know what I mean so you had to listen a lot about the instruction of it
504,what's this what's this what's that right there
505,I have_to relax a little because you've been like a maniac today
506,rolling rolling rolling fast and rolling fast and now we'll stop
507,use this car first cause this is like not the best of your cars
508,rolling rolling rolling fast and rolling fast and now we'll stop
509,rolling rolling rolling fast and rolling fast and now we'll stop
510,please don't do that anymore or you'll have_to go in timeout
511,how about these two books too cause you don't read these
512,rolling rolling rolling fast and rolling fast and now we'll stop
513,rolling rolling rolling fast and rolling fast and now we'll stop
514,do you like this squirrel book that auntie gave you
515,ya can eat it if ya want it's okay to eat the cereal
516,how did you do that now push your car over here
517,okay you xxx would you like xxx you have_to roll it this way
518,let's use our noses and find things to smell
519,no those are the cheapy crayons how come they're in here
520,your beak or your snuffer will work just as well
521,oh Alex just let me put it back takes two seconds
522,I'm trying to show you but you don't like when Mommy shows you things you get aggravated
523,yeah I'll get you some more cards that's fine
524,you're not supposed to play with that that is not a toy
525,and this is seven tulips that Big_Bird is watering with his blue watering can
526,smell the bread while it bakes and the blueberry pie
527,smell the freshly washed clothes as they're hung out to dry
528,waimit because Mommy has to open a window
529,smell the earth and the trees after warm summer showers
530,let's write your name know how we write your name
531,you want your eight 'cause I know you like the number eight
532,everybody quiet Alex is trying to take a nap
533,we haven't even put the crayons in it yet
534,okay that's better get some fresh air in here
535,breathe in the sweet smell from a field full of flowers
536,hold your nose as you pass Oscar's pile of junk
537,here comes the water here comes the sudsy water no much that's good
538,this is such a great gift you know I even looked at this to buy you
539,horsie horsie horsie ride horsie ride big stretch
540,run as fast as you can past this smelly fat skunk
541,first we're gonna put all the crayons in the box then you can get down okay
542,okay waimit put them on the blue thing now push push this with your finger look
543,put the crayons away and we'll go get some more toys
544,a star would you like xxx to make a star a star
545,there it comes wow I'm washing the car
546,you dump them out and then ya don't even play with them you just like to dump them
547,this one's the only one that works the best
548,I have_to get the put the dough in the refrigerator
549,would you like me to pick that up for you
550,wait a minute I'm getting the little people
551,your gonna push it through here and it's gonna dry the car
552,prolly cause you yelled at me earlier for nothin'
553,go ahead put your star on there I'll show you
554,here it is lemme lemme fix it
555,this is empty we have_to put that in the recycle+bin
556,you can't get down unless you put your crayons away
557,if I remember correctly that is what his name is
558,can would you like Mommy to fix it for you
559,you you throw everything to all over everywhere and Mommy can't find everything
560,the lion oh so lion what does the lion say
561,I'm tryin to keep him in the middle of the
562,six and seven and one now I saw one but I have no idea about six and seven
563,you have_to put it this way this way no through here honey look
564,on the rug but he wants to go out where they're like flying around in circles xxx oh no
565,all gone let's put that in the cardboard recycling
566,oh he's on um Fiesta video but I know his name
567,you can't you can't play with this this is not a toy out
568,a tree it's a tree it's a Christmas tree one
569,that's too much dough you got just take a little
570,you know what let's take this down we don't need that
571,I know you're gonna get mad at me but it's not a toy c'mon
572,oh you can have this too this one you can have
573,remember on Fiesta she says oh Carlo I'm so happy to see you
574,let's see I don't know what is it
575,those are xxx something that does not belong to you
576,would you like to go put her back now
577,don't you can't do that it's not funny
578,okay get down let's go put her over there get your bench you take it with you c'mon let's get rid of the food
579,out your hands are dirty let's go get washed c'mon
580,make it a good size like an eighth of an inch
581,it's about the closest you're gonna get to it
582,get outta here out Mommy said not to touch that
583,I think these wands just aren't that great
584,how come you're faking ya lil faker baker
585,I can't find six and seven I don't know where they are
586,two is probably in the vase where you like to throw things
587,you didn't even get hurt you faker
588,would you like a sip of your juice honey are you thirsty
589,that's Daddy's pepperoni bread he's been asking Mommy to make for three days
590,Mommy likes when you put the tracks together all by yourself
591,does Mommy get anything if I give you crayons
592,yeah just leave that there and then we'll fix it later
593,this is your green car would you like to wash your green car
594,would you like Mommy to read it to you
595,let's see I have_to open it very carefully cause you were shakin it all around
596,I don't know if you can say that can you say oval
597,let Mommy read the directions let's see
598,alright let's take these guys out of here and get the green one
599,how come you don't wanna share with me today
600,see what happens when you do that it makes such a mess
601,you sit here and you show Mommy which games you wanna play
602,battery compartment drawer we need to go get the screw driver
603,where's Mommy's masterpiece that she's working on
604,he's taking it to Oscar it tickles Elmo's nose
605,okay let's get the screw Mom grab could you please grab the screw driver out of the drawer
606,I have_to finish it it's such a beautiful page I'm coloring
607,let her eat she's gonna have her breakfast
608,oh lemme see lemme see show me lemme see
609,Bert is stacking cans he stacks them neat and tall
610,don't get mad I thought you were done
611,no you threw the pig last night into the vase
612,that's why we were in there and then when I xxx it's like finding something new
613,xxx wait a minute Mommy has to put it real close
614,look at what we built the happy monsters call
615,and I can't get it cause it makes too much noise
616,now we're gonna put 'em in there and we're gonna dry 'em and these don't dry right I don't know why
617,oop Mommy made it backwards what's wrong with her
618,the words the words are too small the letters
619,look I found your Elmo book and I found your fire engine Elmo
620,here comes a parade the circus is in town
621,but I didn't find ya your two I don't know what happened to it
622,where do we put where else do we put the fence
623,a stink weed plant says Oscar the best I've ever sniffed
624,okay you can do it but don't don't sit on the track
625,Oscar finds his hankie and what does he do
626,yeah and you need to get rid of this gross water
627,Oscar grins a grouchy grin and then he says
628,Mommy just did one page and then xxx was there
629,how come you won't let me have any toys
630,here why don't we do this waimit waimit before you fall
631,I have no idea do you know where they are
632,that's the mess that's a little messy
633,look at you haven't seen that in a long time
634,I don't know where it is where did you put it did you bring it upstairs cause if it's upstairs we'll never find it
635,would you like Mommy to put some more water in here
636,what a good boy I'm so happy you told me
637,jeez Alex I'm not even really sure honey
638,I'm trying to look to see what you stuff under here
639,okay lemme fix it lemme fix it
640,lemme see wanna lemme clean it for you
641,or maybe it's just something that they made up
642,no ya gotta put the birdy in the tree look
643,ow xxx Mommy's not used to the table being right here
644,you can do it you know how you showed me already all by yourself
645,I don't know no I don't think it's under there honey
646,yes but he was too tired to let me
647,see if you didn't sit in the middle you'd have more room
648,here move your puzzle so you can play with your train
649,oh xxx you didn't press it you have_to press it remember press and pull
650,no do you need to have your diaper changed now
651,would you like me to pick that up for you
652,uw I don't know if Mommy can find an i
653,where could the I be would you settle for a lower case i
654,is there anymore shapes or is that it
655,you just missed it I made Jojo pepperoni bread with the play+dough
656,wait let me see let me dry 'em off
657,oh this is the crummy red I don't like these crayons
658,I'll make a ball and I'll get your shapes how's that sound
659,yeah all by herself she called me to do it but I couldn't cuz I had my hands full
660,ooh we didn't give Dorothy breakfast she's probably hungry
661,how bout there there's a little one can you see that one that one right there right there lookit there's j jam
662,right here look at this big k right here on the front
663,so I told that I would call her back and help her do it
664,Zoe tried on her new tee+ball uniform over and over and over
665,she was so excited as she looked at her favorite player hanging on her bedroom wall
666,Gigi is so ridiculous I just want to go on record saying that
667,what's this I know you know what this is
